SymmetricIProfile,,,,,
CatalogueName,Depth,Width,WebThickness,FlangeThickness,RootRadius
RHS 350x250x8.8 #,0.35,0.25,0.0088,0.0088,
RHS 350x250x10 #,0.35,0.25,0.01,0.01,
RHS 350x250x12.5 #,0.35,0.25,0.0125,0.0125,
RHS 350x250x14.2 #,0.35,0.25,0.0142,0.0142,
RHS 350x250x16 #,0.35,0.25,0.016,0.016,
RHS 400x120x6.3 #,0.4,0.12,0.0063,0.0063,
RHS 400x120x8 #,0.4,0.12,0.008,0.008,
RHS 400x120x10 #,0.4,0.12,0.01,0.01,
RHS 400x120x12.5 #,0.4,0.12,0.0125,0.0125,
RHS 400x150x5 #,0.4,0.15,0.005,0.005,
RHS 400x150x6.3 #,0.4,0.15,0.0063,0.0063,
RHS 400x150x7.1 #,0.4,0.15,0.0071,0.0071,
RHS 400x150x8 #,0.4,0.15,0.008,0.008,
RHS 400x150x8.8 #,0.4,0.15,0.0088,0.0088,
RHS 400x150x10 #,0.4,0.15,0.01,0.01,
RHS 400x150x12.5 #,0.4,0.15,0.0125,0.0125,
RHS 400x150x14.2 #,0.4,0.15,0.0142,0.0142,
RHS 400x150x16,0.4,0.15,0.016,0.016,
RHS 400x200x6.3 #,0.4,0.2,0.0063,0.0063,
RHS 400x200x7.1 #,0.4,0.2,0.0071,0.0071,
RHS 400x200x8,0.4,0.2,0.008,0.008,
RHS 400x200x8.8 #,0.4,0.2,0.0088,0.0088,
RHS 400x200x10,0.4,0.2,0.01,0.01,
RHS 400x200x12.5,0.4,0.2,0.0125,0.0125,
RHS 400x200x14.2 #,0.4,0.2,0.0142,0.0142,
RHS 400x200x16,0.4,0.2,0.016,0.016,
RHS 400x300x8 #,0.4,0.3,0.008,0.008,
RHS 400x300x8.8 #,0.4,0.3,0.0088,0.0088,
RHS 400x300x10 #,0.4,0.3,0.01,0.01,
RHS 400x300x12.5 #,0.4,0.3,0.0125,0.0125,
RHS 400x300x14.2 #,0.4,0.3,0.0142,0.0142,
RHS 400x300x16 #,0.4,0.3,0.016,0.016,
RHS 450x250x8,0.45,0.25,0.008,0.008,
RHS 450x250x8.8 #,0.45,0.25,0.0088,0.0088,
RHS 450x250x10,0.45,0.25,0.01,0.01,
RHS 450x250x12.5,0.45,0.25,0.0125,0.0125,
RHS 450x250x14.2 #,0.45,0.25,0.0142,0.0142,
RHS 450x250x16,0.45,0.25,0.016,0.016,
RHS 500x200x8 #,0.5,0.2,0.008,0.008,
RHS 500x200x8.8 #,0.5,0.2,0.0088,0.0088,
RHS 500x200x10 #,0.5,0.2,0.01,0.01,
RHS 500x200x12.5 #,0.5,0.2,0.0125,0.0125,
RHS 500x200x14.2 #,0.5,0.2,0.0142,0.0142,
RHS 500x200x16 #,0.5,0.2,0.016,0.016,
RHS 500x300x8 #,0.5,0.3,0.008,0.008,
RHS 500x300x8.8 #,0.5,0.3,0.0088,0.0088,
RHS 500x300x10,0.5,0.3,0.01,0.01,
RHS 500x300x12.5 #,0.5,0.3,0.0125,0.0125,
RHS 500x300x14.2 #,0.5,0.3,0.0142,0.0142,
RHS 500x300x16,0.5,0.3,0.016,0.016,
RHS 500x300x20 ^,0.5,0.3,0.02,0.02,
SHS 40x40x3  #,0.04,0.04,0.003,0.003,
SHS 40x40x3.2,0.04,0.04,0.0032,0.0032,
SHS 40x40x3.6  #,0.04,0.04,0.0036,0.0036,
SHS 40x40x4,0.04,0.04,0.004,0.004,
SHS 40x40x5,0.04,0.04,0.005,0.005,
SHS 50x50x3  #,0.05,0.05,0.003,0.003,
SHS 50x50x3.2,0.05,0.05,0.0032,0.0032,
SHS 50x50x3.6  #,0.05,0.05,0.0036,0.0036,
SHS 50x50x4,0.05,0.05,0.004,0.004,
SHS 50x50x5,0.05,0.05,0.005,0.005,
SHS 50x50x6.3,0.05,0.05,0.0063,0.0063,
SHS 50x50x7.1  #,0.05,0.05,0.0071,0.0071,
SHS 50x50x8  #,0.05,0.05,0.008,0.008,
SHS 60x60x3  #,0.06,0.06,0.003,0.003,
SHS 60x60x3.2,0.06,0.06,0.0032,0.0032,
SHS 60x60x3.6  #,0.06,0.06,0.0036,0.0036,
SHS 60x60x4,0.06,0.06,0.004,0.004,
SHS 60x60x5,0.06,0.06,0.005,0.005,
SHS 60x60x6.3,0.06,0.06,0.0063,0.0063,
SHS 60x60x7.1  #,0.06,0.06,0.0071,0.0071,
SHS 60x60x8,0.06,0.06,0.008,0.008,
SHS 70x70x3  #,0.07,0.07,0.003,0.003,
SHS 70x70x3.2,0.07,0.07,0.0032,0.0032,
SHS 70x70x3.6  #,0.07,0.07,0.0036,0.0036,
SHS 70x70x4,0.07,0.07,0.004,0.004,
SHS 70x70x5,0.07,0.07,0.005,0.005,
SHS 70x70x6.3,0.07,0.07,0.0063,0.0063,
SHS 70x70x7.1  #,0.07,0.07,0.0071,0.0071,
SHS 70x70x8,0.07,0.07,0.008,0.008,
SHS 70x70x8.8  #,0.07,0.07,0.0088,0.0088,
SHS 80x80x3  #,0.08,0.08,0.003,0.003,
SHS 80x80x3.2,0.08,0.08,0.0032,0.0032,
SHS 80x80x3.6  #,0.08,0.08,0.0036,0.0036,
SHS 80x80x4,0.08,0.08,0.004,0.004,
SHS 80x80x5,0.08,0.08,0.005,0.005,
SHS 80x80x6.3,0.08,0.08,0.0063,0.0063,
SHS 80x80x7.1  #,0.08,0.08,0.0071,0.0071,
SHS 80x80x8,0.08,0.08,0.008,0.008,
SHS 80x80x8.8  #,0.08,0.08,0.0088,0.0088,
SHS 80x80x10  #,0.08,0.08,0.01,0.01,
SHS 80x80x12.5  #,0.08,0.08,0.0125,0.0125,
SHS 90x90x3.6  #,0.09,0.09,0.0036,0.0036,
SHS 90x90x4,0.09,0.09,0.004,0.004,
SHS 90x90x5,0.09,0.09,0.005,0.005,
SHS 90x90x6.3,0.09,0.09,0.0063,0.0063,
SHS 90x90x7.1  #,0.09,0.09,0.0071,0.0071,
SHS 90x90x8,0.09,0.09,0.008,0.008,
SHS 90x90x8.8  #,0.09,0.09,0.0088,0.0088,
SHS 90x90x10  #,0.09,0.09,0.01,0.01,
SHS 90x90x12.5  #,0.09,0.09,0.0125,0.0125,
SHS 100x100x3.6,0.1,0.1,0.0036,0.0036,
SHS 100x100x4,0.1,0.1,0.004,0.004,
SHS 100x100x5,0.1,0.1,0.005,0.005,
SHS 100x100x6.3,0.1,0.1,0.0063,0.0063,
SHS 100x100x7.1 #,0.1,0.1,0.0071,0.0071,
SHS 100x100x8,0.1,0.1,0.008,0.008,
SHS 100x100x8.8 #,0.1,0.1,0.0088,0.0088,
SHS 100x100x10,0.1,0.1,0.01,0.01,
SHS 100x100x12.5 #,0.1,0.1,0.0125,0.0125,
SHS 120x120x4 #,0.12,0.12,0.004,0.004,
SHS 120x120x5,0.12,0.12,0.005,0.005,
SHS 120x120x6.3,0.12,0.12,0.0063,0.0063,
SHS 120x120x7.1 #,0.12,0.12,0.0071,0.0071,
SHS 120x120x8,0.12,0.12,0.008,0.008,
SHS 120x120x8.8 #,0.12,0.12,0.0088,0.0088,
SHS 120x120x10,0.12,0.12,0.01,0.01,
SHS 120x120x12.5,0.12,0.12,0.0125,0.0125,
SHS 140x140x5,0.14,0.14,0.005,0.005,
SHS 140x140x6.3,0.14,0.14,0.0063,0.0063,
SHS 140x140x7.1 #,0.14,0.14,0.0071,0.0071,
SHS 140x140x8,0.14,0.14,0.008,0.008,
SHS 140x140x8.8 #,0.14,0.14,0.0088,0.0088,
SHS 140x140x10,0.14,0.14,0.01,0.01,
SHS 140x140x12.5,0.14,0.14,0.0125,0.0125,
SHS 150x150x5,0.15,0.15,0.005,0.005,
SHS 150x150x6.3,0.15,0.15,0.0063,0.0063,
SHS 150x150x7.1 #,0.15,0.15,0.0071,0.0071,
SHS 150x150x8,0.15,0.15,0.008,0.008,
SHS 150x150x8.8 #,0.15,0.15,0.0088,0.0088,
SHS 150x150x10,0.15,0.15,0.01,0.01,
SHS 150x150x12.5,0.15,0.15,0.0125,0.0125,
SHS 150x150x14.2 #,0.15,0.15,0.0142,0.0142,
SHS 150x150x16 # r,0.15,0.15,0.016,0.016,
SHS 160x160x5 #,0.16,0.16,0.005,0.005,
SHS 160x160x6.3,0.16,0.16,0.0063,0.0063,
SHS 160x160x7.1 #,0.16,0.16,0.0071,0.0071,
SHS 160x160x8,0.16,0.16,0.008,0.008,
SHS 160x160x8.8 #,0.16,0.16,0.0088,0.0088,
SHS 160x160x10,0.16,0.16,0.01,0.01,
SHS 160x160x12.5,0.16,0.16,0.0125,0.0125,
SHS 160x160x14.2 #,0.16,0.16,0.0142,0.0142,
SHS 160x160x16 #,0.16,0.16,0.016,0.016,
SHS 180x180x5 #,0.18,0.18,0.005,0.005,
SHS 180x180x6.3,0.18,0.18,0.0063,0.0063,
SHS 180x180x7.1 #,0.18,0.18,0.0071,0.0071,
SHS 180x180x8,0.18,0.18,0.008,0.008,
SHS 180x180x8.8 #,0.18,0.18,0.0088,0.0088,
SHS 180x180x10,0.18,0.18,0.01,0.01,
SHS 180x180x12.5,0.18,0.18,0.0125,0.0125,
SHS 180x180x14.2 #,0.18,0.18,0.0142,0.0142,
SHS 180x180x16,0.18,0.18,0.016,0.016,
SHS 200x200x5,0.2,0.2,0.005,0.005,
SHS 200x200x6.3,0.2,0.2,0.0063,0.0063,
SHS 200x200x7.1 #,0.2,0.2,0.0071,0.0071,
SHS 200x200x8,0.2,0.2,0.008,0.008,
SHS 200x200x8.8 #,0.2,0.2,0.0088,0.0088,
SHS 200x200x10,0.2,0.2,0.01,0.01,
SHS 200x200x12.5,0.2,0.2,0.0125,0.0125,
SHS 200x200x14.2 #,0.2,0.2,0.0142,0.0142,
SHS 200x200x16,0.2,0.2,0.016,0.016,
SHS 220x220x8 #,0.22,0.22,0.008,0.008,
SHS 220x220x10 #,0.22,0.22,0.01,0.01,
SHS 220x220x12.5 #,0.22,0.22,0.0125,0.0125,
SHS 250x250x5 #,0.25,0.25,0.005,0.005,
SHS 250x250x6.3,0.25,0.25,0.0063,0.0063,
SHS 250x250x7.1 #,0.25,0.25,0.0071,0.0071,
SHS 250x250x8,0.25,0.25,0.008,0.008,
SHS 250x250x8.8 #,0.25,0.25,0.0088,0.0088,
SHS 250x250x10,0.25,0.25,0.01,0.01,
SHS 250x250x12.5,0.25,0.25,0.0125,0.0125,
SHS 250x250x14.2 #,0.25,0.25,0.0142,0.0142,
SHS 250x250x16,0.25,0.25,0.016,0.016,
SHS 260x260x6.3 #,0.26,0.26,0.0063,0.0063,
SHS 260x260x7.1 #,0.26,0.26,0.0071,0.0071,
SHS 260x260x8 #,0.26,0.26,0.008,0.008,
SHS 260x260x8.8 #,0.26,0.26,0.0088,0.0088,
SHS 260x260x10 #,0.26,0.26,0.01,0.01,
SHS 260x260x12.5 #,0.26,0.26,0.0125,0.0125,
SHS 260x260x14.2 #,0.26,0.26,0.0142,0.0142,
SHS 260x260x16 #,0.26,0.26,0.016,0.016,
SHS 300x300x6.3 #,0.3,0.3,0.0063,0.0063,
SHS 300x300x7.1 #,0.3,0.3,0.0071,0.0071,
SHS 300x300x8,0.3,0.3,0.008,0.008,
SHS 300x300x8.8 #,0.3,0.3,0.0088,0.0088,
SHS 300x300x10,0.3,0.3,0.01,0.01,
SHS 300x300x12.5,0.3,0.3,0.0125,0.0125,
SHS 300x300x14.2 #,0.3,0.3,0.0142,0.0142,
SHS 300x300x16,0.3,0.3,0.016,0.016,
SHS 350x350x8,0.35,0.35,0.008,0.008,
SHS 350x350x8.8 #,0.35,0.35,0.0088,0.0088,
SHS 350x350x10,0.35,0.35,0.01,0.01,
SHS 350x350x12.5,0.35,0.35,0.0125,0.0125,
SHS 350x350x14.2 #,0.35,0.35,0.0142,0.0142,
SHS 350x350x16,0.35,0.35,0.016,0.016,
SHS 400x400x8 #,0.4,0.4,0.008,0.008,
SHS 400x400x8.8 #,0.4,0.4,0.0088,0.0088,
SHS 400x400x10,0.4,0.4,0.01,0.01,
SHS 400x400x12.5,0.4,0.4,0.0125,0.0125,
SHS 400x400x14.2 #,0.4,0.4,0.0142,0.0142,
SHS 400x400x16,0.4,0.4,0.016,0.016,
SHS 400x400x20 ^,0.4,0.4,0.02,0.02,
